original_order,Image_name,prop_ungerminated,prop_chlorotic,,number_seeds,ungerminated_seeds,chlorotic_seedlings,anything_else_interesting,date
189,1-A-0253.jpg,0.033333333,0,,30,1,0,,1/1/2021
190,1-A-0254.jpg,0.333333333,0,,30,10,0,,1/1/2021
191,1-A-0255.jpg,0.133333333,0,,30,4,0,,1/1/2021
192,1-A-0256.jpg,0,0,,30,0,0,,1/1/2021
193,1-A-0257.jpg,0.318181818,0,,22,7,0,,1/1/2021
194,1-A-0258.jpg,0.166666667,0,,18,3,0,,1/1/2021
195,1-A-0259.jpg,0.066666667,0,,30,2,0,,1/1/2021
196,1-A-0260.jpg,0.066666667,0,,30,2,0,,1/1/2021
197,1-A-0261.jpg,0.466666667,0.066666667,,30,14,2,white/pink,1/1/2021
198,1-A-0262.jpg,0.133333333,0,,30,4,0,,1/1/2021
199,1-A-0263.jpg,0.066666667,0,,30,2,0,,1/1/2021
200,1-A-0264.jpg,0.1,0,,30,3,0,,1/1/2021
201,1-A-0266.jpg,0,0,,30,0,0,,1/1/2021
202,1-A-0268.jpg,0.2,0,,30,6,0,,1/1/2021
203,1-A-0269.jpg,0.1,0,,30,3,0,,1/1/2021
204,1-A-0270.jpg,0.066666667,0,,30,2,0,,1/1/2021
205,1-A-0271.jpg,0.1,0,,30,3,0,,1/1/2021
206,1-A-0272.jpg,0.133333333,0,,30,4,0,,1/1/2021
207,1-A-0273.jpg,0,0,,30,0,0,,1/1/2021
208,1-A-0274.jpg,0.1,0,,30,3,0,,1/1/2021
209,1-A-0275.jpg,0.033333333,0,,30,1,0,,1/1/2021
210,1-A-0276.jpg,0.133333333,0,,30,4,0,,1/1/2021
211,1-A-0277.jpg,0,0,,30,0,0,,1/1/2021
212,1-A-0278.jpg,0,0,,30,0,0,,1/1/2021
213,1-A-0279.jpg,0.033333333,0,,30,1,0,,1/1/2021
214,1-A-0280.jpg,0,0,,30,0,0,,1/1/2021
215,1-A-0281.jpg,0,0,,16,0,0,,1/1/2021
216,1-A-0283.jpg,0.1,0,,30,3,0,,1/1/2021
217,1-A-0284.jpg,0.066666667,0,,30,2,0,,1/1/2021
218,1-A-0285.jpg,0.066666667,0,,30,2,0,,1/1/2021
219,1-A-0286.jpg,0.033333333,0,,30,1,0,,1/1/2021
220,1-A-0287.jpg,0.133333333,0,,30,4,0,,1/1/2021
221,1-A-0288.jpg,0.033333333,0,,30,1,0,,1/1/2021
222,1-A-0289.jpg,0.066666667,0,,30,2,0,,1/1/2021
223,1-A-0290.jpg,0,0,,30,0,0,,1/1/2021
224,1-A-0291.jpg,0,0,,30,0,0,,1/1/2021
225,1-A-0292.jpg,0.166666667,0,,30,5,0,,1/1/2021
226,1-A-0293.jpg,0.033333333,0,,30,1,0,,1/1/2021
227,1-A-0294.jpg,0.133333333,0,,30,4,0,,1/1/2021
228,1-A-0295.jpg,0.1,0,,30,3,0,,1/1/2021
229,1-A-0297.jpg,0.1,0,,30,3,0,,1/1/2021
230,1-A-0298.jpg,0.033333333,0,,30,1,0,,1/1/2021
231,1-A-0299.jpg,0.1,0,,30,3,0,,1/1/2021
232,1-A-0300.jpg,0.033333333,0,,30,1,0,,1/1/2021
233,1-A-0301.jpg,0.066666667,0,,30,2,0,,1/1/2021
234,1-A-0303.jpg,0.1,0,,30,3,0,,1/1/2021
235,1-A-0304.jpg,0.333333333,0,,30,10,0,,1/1/2021
236,1-A-0305.jpg,0.133333333,0,,30,4,0,corkscrew and inverted seedlings,1/1/2021
237,1-A-0306.jpg,0.166666667,0,,30,5,0,,1/1/2021
238,1-A-0307.jpg,0.066666667,0,,30,2,0,,1/1/2021
239,1-A-0308.jpg,0.066666667,0,,30,2,0,,1/1/2021
240,1-A-0309.jpg,0.266666667,0,,30,8,0,,1/1/2021
241,1-A-0310.jpg,0.133333333,0,,30,4,0,,1/1/2021
242,1-A-0311.jpg,0.133333333,0,,30,4,0,,1/1/2021
243,1-A-0312.jpg,0.066666667,0,,30,2,0,,1/1/2021
244,1-A-0313.jpg,0.133333333,0,,30,4,0,,1/1/2021
245,1-A-0314.jpg,0.266666667,0,,30,8,0,,1/1/2021
246,1-A-0315.jpg,0.2,0,,30,6,0,,1/1/2021
247,1-A-0316.jpg,0.2,0,,30,6,0,,1/1/2021
248,1-A-0317.jpg,0.1,0,,30,3,0,,1/1/2021
249,1-A-0318.jpg,0.1,0,,30,3,0,,1/1/2021
250,1-A-0319.jpg,0.36,0,,25,9,0,,1/1/2021
251,1-A-0320.jpg,0.176470588,0,,17,3,0,,1/1/2021
252,1-A-0321.jpg,0.2,0,,10,2,0,,1/1/2021
253,1-A-0322.jpg,0.033333333,0,,30,1,0,,1/1/2021
254,1-A-0323.jpg,0.233333333,0,,30,7,0,,1/1/2021
255,1-A-0324.jpg,0.066666667,0,,30,2,0,,1/1/2021
256,1-A-0325.jpg,0.066666667,0,,30,2,0,,1/1/2021
257,1-A-0326.jpg,0.133333333,0,,30,4,0,,1/1/2021
258,1-A-0327.jpg,0,0,,30,0,0,,1/1/2021
259,1-A-0328.jpg,0.15,0.15,,20,3,3,white/pink,1/1/2021
260,1-A-0329.jpg,0.066666667,0,,30,2,0,,1/1/2021
261,1-A-0330.jpg,0.033333333,0,,30,1,0,,1/1/2021
262,1-A-0331.jpg,0.1,0,,30,3,0,,1/1/2021
263,1-A-0332.jpg,0.4,0,,30,12,0,,1/1/2021
264,1-A-0333.jpg,0.5,0.066666667,,30,15,2,pure white,1/1/2021
265,1-A-0334.jpg,0.066666667,0,,30,2,0,,1/1/2021
266,1-A-0335.jpg,0.2,0.05,,20,4,1,inverted seedlings,1/1/2021
267,1-A-0336.jpg,0.3,0,,20,6,0,,1/1/2021
268,1-A-0337.jpg,0.1,0,,30,3,0,,1/1/2021
269,1-A-0338.jpg,0.033333333,0,,30,1,0,,1/1/2021
270,1-A-0339.jpg,0,0,,30,0,0,,1/1/2021
271,1-A-0340.jpg,0.033333333,0,,30,1,0,,1/1/2021
272,1-A-0341.jpg,0.033333333,0,,30,1,0,,1/1/2021
273,1-A-0342.jpg,0.233333333,0,,30,7,0,,1/1/2021
274,1-A-0343.jpg,0.233333333,0,,30,7,0,,1/1/2021
275,1-A-0344.jpg,0,0,,30,0,0,,1/1/2021
276,1-A-0345.jpg,0.033333333,0,,30,1,0,,1/1/2021
277,1-A-0346.jpg,0.1,0,,30,3,0,,1/1/2021
278,1-A-0347.jpg,0.1,0,,30,3,0,,1/1/2021
279,1-A-0348.jpg,0.333333333,0.133333333,,30,10,4,pure white,1/1/2021
280,1-A-0349.jpg,0.233333333,0.366666667,,30,7,11,pure white,1/1/2021
281,1-A-0350.jpg,0.4,0,,30,12,0,,1/1/2021
282,1-A-0352.jpg,0.2,0,,30,6,0,inverted seedlings,1/1/2021
283,1-A-0353.jpg,0.066666667,0,,30,2,0,,1/1/2021
284,1-A-0354.jpg,0.1,0,,30,3,0,,1/1/2021
285,1-A-0355.jpg,0.2,0.033333333,,30,6,1,pure white,1/1/2021
286,1-A-0356.jpg,0,0,,30,0,0,,1/1/2021
287,1-A-0357.jpg,0.033333333,0.033333333,,30,1,1,,1/1/2021
288,1-A-0358.jpg,0.033333333,0.233333333,,30,1,7,pure white,1/1/2021
289,1-A-0359.jpg,0.033333333,0,,30,1,0,,1/1/2021
290,1-A-0360.jpg,0.5,0,,4,2,0,,1/1/2021
291,1-A-0362.jpg,0.428571429,0,,7,3,0,,1/1/2021
292,1-A-0363.jpg,0.133333333,0.133333333,,15,2,2,white/pink,1/1/2021
293,1-A-0369.jpg,0.366666667,0,,30,11,0,,1/1/2021
294,1-A-0370.jpg,0.1,0,,30,3,0,,1/1/2021
295,1-A-0371.jpg,0.033333333,0,,30,1,0,,1/1/2021
296,1-A-0372.jpg,0.2,0,,30,6,0,,1/1/2021
297,1-A-0373.jpg,0.1,0.133333333,,30,3,4,white/pink,1/1/2021
298,1-A-0374.jpg,0.033333333,0,,30,1,0,,1/1/2021
299,1-A-0375.jpg,0.233333333,0.2,,30,7,6,white/pink,1/1/2021
300,1-A-0376.jpg,0.066666667,0,,30,2,0,,1/1/2021
301,1-A-0377.jpg,0.166666667,0,,30,5,0,,1/1/2021
302,1-A-0378.jpg,0.266666667,0,,30,8,0,,1/1/2021
303,1-A-0379.jpg,0.033333333,0.133333333,,30,1,4,white/pink,1/1/2021
304,1-A-0380.jpg,0,0.15,,20,0,3,white/pink,1/1/2021
305,1-A-0381.jpg,0.233333333,0,,30,7,0,,1/1/2021
